year,gdp_smooth
1402,175774399.6762047
1403,176043839.61293602
1404,176313692.567033
1405,176583959.17159903
1406,176854640.06070802
1407,177125735.86940587
1408,177397247.23371178
1409,177669174.79062
1410,177941519.17810115
1411,178214281.0351039
1412,178487461.00155616
1413,178761059.7183669
1414,179035077.8274275
1415,179309515.9716133
1416,179584374.79478496
1417,179859654.94179028
1418,180135357.05846536
1419,180411481.7916365
1420,180688029.7891212
1421,180965001.69973034
1422,181242398.17326897
1423,181520219.86053848
1424,181798467.41333783
1425,182077141.48446494
1426,182356242.7277186
1427,182635771.7978996
1428,182915729.35081252
1429,183196116.04326737
1430,183476932.5330807
1431,183758179.4790776
1432,184039857.54109293
1433,184321967.37997308
1434,184604509.65757743
1435,184887485.03677985
1436,185170894.1814703
1437,185454737.75655657
1438,185739016.42796543
1439,186023730.86264464
1440,186308881.72856414
1441,186594469.69471788
1442,186880495.43112525
1443,187166959.60883278
1444,187453862.89991552
1445,187741205.9774787
1446,188028989.51565954
1447,188317214.18962842
1448,188605880.67559075
1449,188894989.6507885
1450,189184541.79350162
1451,189474537.78305006
1452,189764978.29979485
1453,190055864.02513996
1454,190347195.6415339
1455,190638973.83247134
1456,190931199.28249457
1457,191223872.67719522
1458,191516994.7032159
1459,191810566.0482517
1460,192104587.40105188
1461,192399059.45142144
1462,192693982.89022276
1463,192989358.40937737
1464,193285186.7018672
1465,193581468.46173656
1466,193878204.38409364
1467,194175395.16511214
1468,194473041.50203282
1469,194771144.09316543
1470,195069703.6378899
1471,195392384.87561023
1472,195739428.36485314
1473,196111076.78432724
1474,196507574.95124012
1475,196929169.83977443
1476,197376110.5997217
1477,197848648.57527763
1478,198347037.3239986
1479,198871532.6359216
1480,199422392.5528486
1481,199999877.38779742
1482,200604249.74461922
1483,201235774.53778586
1484,201894719.01234674
1485,202581352.76405805
1486,203295947.75968513
1487,204038778.3574793
1488,204810121.3278317
1489,205610255.874104
1490,206439463.6536393
1491,207298028.79895344
1492,208186237.93910888
1493,209104380.22127232
1494,210052747.33245856
1495,211031633.52146068
1496,212041335.62096974
1497,213082153.0698845
1498,214154387.93581328
1499,215258344.93776965
1500,216394331.4690633
1501,217562657.62038812
1502,218763636.20310897
1503,219997582.77274883
1504,221264815.6526784
1505,222565655.9580093
1506,223900427.6196932
1507,225269457.4088281
1508,226673074.96117443
